"freqm";"freqf";"firstname";"totalfreq";"percm";"percf" 
167;0;"atilano";167;100;0
5;0;"atilio";5;100;0
78;0;"atilla";78;100;0
0;207;"atina";207;0;100
0;5;"atinuke";5;0;100
0;287;"atira";287;0;100
0;124;"atisha";124;0;100
6;0;"atit";6;100;0
0;7;"ativa";7;0;100
0;1314;"atiya";1314;0;100
0;196;"atiyah";196;0;100
0;67;"atiyana";67;0;100
0;6;"atiyanna";6;0;100
0;9;"atiyya";9;0;100
0;10;"atiyyah";10;0;100
42;0;"atlai";42;100;0
0;632;"atlanta";632;0;100
17;421;"atlantis";438;3.88127853881279;96.1187214611872
3362;185;"atlas";3547;94.7843247815055;5.2156752184945
0;55;"atlean";55;0;100
1072;239;"atlee";1311;81.769641495042;18.230358504958
0;144;"atleigh";144;0;100
398;388;"atley";786;50.6361323155216;49.3638676844784
0;5;"atline";5;0;100
5;0;"atlis";5;100;0
10;0;"atnhony";10;100;0
56;0;"ato";56;100;0
0;5;"atoli";5;0;100
622;0;"atom";622;100;0
0;10;"atong";10;0;100
0;18;"atonia";18;0;100
13;0;"atonio";13;100;0
0;83;"atonya";83;0;100
0;15;"atoria";15;0;100
0;17;"atosha";17;0;100
0;153;"atoya";153;0;100
5;0;"atravion";5;100;0
27;0;"atrayu";27;100;0
16;0;"atreal";16;100;0
5;0;"atreau";5;100;0
6;0;"atreju";6;100;0
6;0;"atrell";6;100;0
5;0;"atreo";5;100;0
5;0;"atreu";5;100;0
16;0;"atreus";16;100;0
27;6;"atreya";33;81.8181818181818;18.1818181818182
1605;0;"atreyu";1605;100;0
0;5;"atrice";5;0;100
0;5;"atricia";5;0;100
13;0;"atrick";13;100;0
0;13;"atrina";13;0;100
0;16;"atsuko";16;0;100
86;0;"atsushi";86;100;0
12;5;"atta";17;70.5882352941177;29.4117647058824
0;6;"attache";6;0;100
0;18;"attalia";18;0;100
0;32;"attalie";32;0;100
0;55;"attallah";55;0;100
194;0;"atthew";194;100;0
0;7;"attia";7;0;100
0;13;"attiana";13;0;100
0;17;"attica";17;0;100
7892;39;"atticus";7931;99.5082587315597;0.491741268440298
0;222;"attie";222;0;100
104;0;"attikus";104;100;0
557;0;"attila";557;100;0
1022;0;"attilio";1022;100;0
16;0;"attis";16;100;0
0;39;"attison";39;0;100
0;10;"attiya";10;0;100
0;11;"attiyya";11;0;100
6;0;"attley";6;100;0
0;19;"attoria";19;0;100
212;0;"atul";212;100;0
5;0;"atward";5;100;0
128;0;"atwell";128;100;0
334;0;"atwood";334;100;0
0;37;"atyana";37;0;100
0;13;"atyanna";13;0;100
0;15;"atyia";15;0;100
153;0;"atzel";153;100;0
0;27;"atzhiri";27;0;100
0;11;"atzhiry";11;0;100
0;48;"atzi";48;0;100
0;10;"atzimba";10;0;100
105;22;"atzin";127;82.6771653543307;17.3228346456693
0;481;"atziri";481;0;100
0;408;"atziry";408;0;100
6;0;"auberon";6;100;0
85;0;"aubert";85;100;0
503;82;"aubery";585;85.982905982906;14.017094017094
24;5;"aubie";29;82.7586206896552;17.2413793103448
44;11;"aubin";55;80;20
304;37;"aubra";341;89.149560117302;10.8504398826979
0;18;"aubray";18;0;100
15;714;"aubre";729;2.05761316872428;97.9423868312757
0;400;"aubrea";400;0;100
0;5;"aubreah";5;0;100
0;202;"aubreana";202;0;100
0;385;"aubreanna";385;0;100
0;5;"aubreauna";5;0;100
41;33948;"aubree";33989;0.120627261761158;99.8793727382388
0;24;"aubreeana";24;0;100
0;14;"aubreeann";14;0;100
0;33;"aubreeanna";33;0;100
0;12;"aubreella";12;0;100
0;36;"aubreelynn";36;0;100
0;6;"aubreerose";6;0;100
0;470;"aubrei";470;0;100
0;974;"aubreigh";974;0;100
0;11;"aubrelle";11;0;100
11;25;"aubren";36;30.5555555555556;69.4444444444444
0;5;"aubreona";5;0;100
0;21;"aubreonna";21;0;100
29360;100324;"aubrey";129684;22.6396471422843;77.3603528577157
0;261;"aubreyana";261;0;100
0;39;"aubreyann";39;0;100
0;305;"aubreyanna";305;0;100
0;36;"aubreyella";36;0;100
0;5;"aubreyelle";5;0;100
0;5;"aubreyjo";5;0;100
0;22;"aubreylynn";22;0;100
0;17;"aubreyona";17;0;100
0;17;"aubreyonna";17;0;100
0;18;"aubreyrose";18;0;100
0;3692;"aubri";3692;0;100
0;149;"aubria";149;0;100
0;7;"aubriahna";7;0;100
0;2727;"aubriana";2727;0;100
0;36;"aubrianah";36;0;100
0;10;"aubriann";10;0;100
0;3716;"aubrianna";3716;0;100
0;16;"aubriannah";16;0;100
0;146;"aubrianne";146;0;100
0;65;"aubriauna";65;0;100
0;5;"aubriaunna";5;0;100
0;12041;"aubrie";12041;0;100
0;11;"aubrieana";11;0;100
0;26;"aubrieanna";26;0;100
0;196;"aubriee";196;0;100
0;61;"aubriegh";61;0;100
0;246;"aubriel";246;0;100
0;12;"aubriela";12;0;100
0;1658;"aubriella";1658;0;100
0;2525;"aubrielle";2525;0;100
0;188;"aubrii";188;0;100
0;5;"aubrilyn";5;0;100
0;16;"aubrin";16;0;100
0;92;"aubrina";92;0;100
0;33;"aubriona";33;0;100
0;117;"aubrionna";117;0;100
0;10;"aubriyana";10;0;100
1585;2775;"aubry";4360;36.3532110091743;63.6467889908257
0;274;"aubryana";274;0;100
0;253;"aubryanna";253;0;100
0;41;"aubrye";41;0;100
0;16;"aubryella";16;0;100
0;11;"aubryelle";11;0;100
0;328;"aubryn";328;0;100
0;114;"aubrynn";114;0;100
686;1038;"auburn";1724;39.7911832946636;60.2088167053364
0;37;"aubyn";37;0;100
14;0;"aud";14;100;0
0;209;"auda";209;0;100
7;0;"auddie";7;100;0
0;5;"aude";5;0;100
0;26;"audean";26;0;100
0;10;"audee";10;0;100
205;0;"audel";205;100;0
0;712;"audelia";712;0;100
5;0;"audelio";5;100;0
6;0;"audeliz";6;100;0
0;28;"audell";28;0;100
0;5;"audella";5;0;100
994;417;"auden";1411;70.446491849752;29.5535081502481
0;45;"audene";45;0;100
0;495;"audery";495;0;100
0;7;"audette";7;0;100
12;0;"audey";12;100;0
85;134;"audi";219;38.8127853881278;61.1872146118721
0;49;"audia";49;0;100
0;37;"audiana";37;0;100
0;69;"audianna";69;0;100
3980;2028;"audie";6008;66.2450066577896;33.7549933422104
67;0;"audiel";67;100;0
15;0;"audin";15;100;0
0;213;"audine";213;0;100
6;0;"audio";6;100;0
16;0;"audis";16;100;0
672;5;"audley";677;99.261447562777;0.738552437223043
0;11;"audna";11;0;100
68;0;"audon";68;100;0
193;24221;"audra";24414;0.790530023756861;99.2094699762431
0;39;"audrae";39;0;100
0;5;"audranna";5;0;100
0;79;"audray";79;0;100
0;8;"audraya";8;0;100
40;820;"audre";860;4.65116279069767;95.3488372093023
0;2083;"audrea";2083;0;100
0;267;"audreana";267;0;100
0;524;"audreanna";524;0;100
0;7;"audreauna";7;0;100
0;2978;"audree";2978;0;100
0;71;"audreena";71;0;100
0;24;"audrei";24;0;100
0;22;"audreigh";22;0;100
0;108;"audrena";108;0;100
0;41;"audrene";41;0;100
0;5;"audreona";5;0;100
0;18;"audresha";18;0;100
2858;270805;"audrey";273663;1.04435016790724;98.9556498320927
0;12;"audreya";12;0;100
0;205;"audreyana";205;0;100
0;14;"audreyann";14;0;100
0;392;"audreyanna";392;0;100
0;5;"audreyna";5;0;100
0;5;"audreyonna";5;0;100
0;11;"audreyrose";11;0;100
0;1056;"audri";1056;0;100
0;1227;"audria";1227;0;100
0;4151;"audriana";4151;0;100
0;4142;"audrianna";4142;0;100
0;27;"audrianne";27;0;100
0;47;"audriauna";47;0;100
0;5;"audriaunna";5;0;100
384;0;"audric";384;100;0
50;0;"audrick";50;100;0
5;3629;"audrie";3634;0.137589433131536;99.8624105668685
0;5;"audrieana";5;0;100
0;55;"audrieanna";55;0;100
0;6;"audriel";6;0;100
0;70;"audriella";70;0;100
0;152;"audrielle";152;0;100
0;24;"audriena";24;0;100
0;19;"audrienna";19;0;100
0;26;"audrienne";26;0;100
0;5;"audrii";5;0;100
0;7197;"audrina";7197;0;100
0;17;"audrinah";17;0;100
0;176;"audrinna";176;0;100
0;14;"audriona";14;0;100
0;94;"audrionna";94;0;100
0;102;"audris";102;0;100
0;5;"audrone";5;0;100
496;3899;"audry";4395;11.2855517633675;88.7144482366325
0;99;"audryana";99;0;100
0;126;"audryanna";126;0;100
0;157;"audryna";157;0;100
0;11;"audrynna";11;0;100
5;0;"audvik";5;100;0
351;0;"audwin";351;100;0
274;12;"audy";286;95.8041958041958;4.1958041958042
5;59;"audyn";64;7.8125;92.1875
29;0;"auggie";29;100;0
573;5;"augie";578;99.1349480968858;0.865051903114187
15;0;"augus";15;100;0
37353;3561;"august";40914;91.2963777680012;8.70362223199883
1610;11369;"augusta";12979;12.4046536713152;87.5953463286848
19;0;"augustas";19;100;0
281;13;"auguste";294;95.578231292517;4.42176870748299
94;0;"augusten";94;100;0
29;0;"auguster";29;100;0
3515;0;"augustin";3515;100;0
0;2053;"augustina";2053;0;100
12232;3425;"augustine";15657;78.1248004087629;21.8751995912371
400;0;"augustino";400;100;0
5;0;"augustis";5;100;0
1464;0;"augusto";1464;100;0
14517;10;"augustus";14527;99.9311626626282;0.0688373373717905
5;0;"augustyn";5;100;0
0;42;"auja";42;0;100
0;10;"aujah";10;0;100
0;188;"aujanae";188;0;100
0;5;"aujanai";5;0;100
0;11;"aujane";11;0;100
53;0;"aukai";53;100;0
5;0;"aukeem";5;100;0
0;10;"aukievah";10;0;100
46;0;"aul";46;100;0
0;5;"aula";5;0;100
0;462;"aulani";462;0;100
0;13;"aulbrey";13;0;100
0;5;"aulda";5;0;100
73;0;"aulden";73;100;0
0;18;"aulelei";18;0;100
0;11;"aulene";11;0;100
0;21;"aulii";21;0;100
0;38;"auline";38;0;100
0;6;"aulona";6;0;100
0;38;"aulora";38;0;100
106;0;"aulton";106;100;0
168;0;"aum";168;100;0
5;0;"aumi";5;100;0
0;5;"aumya";5;0;100
17;0;"aun";17;100;0
0;436;"auna";436;0;100
0;13;"aunah";13;0;100
0;40;"aunalee";40;0;100
0;10;"aunaleigh";10;0;100
838;431;"aundra";1269;66.0362490149724;33.9637509850276
26;0;"aundrae";26;100;0
211;0;"aundray";211;100;0
0;94;"aundraya";94;0;100
1213;0;"aundre";1213;100;0
181;4631;"aundrea";4812;3.76142975893599;96.238570241064
0;6;"aundreah";6;0;100
0;5;"aundreia";5;0;100
316;5;"aundrey";321;98.4423676012461;1.55763239875389
0;132;"aundreya";132;0;100
0;783;"aundria";783;0;100
0;312;"aune";312;0;100
19;0;"auner";19;100;0
0;110;"aunesti";110;0;100
0;205;"aunesty";205;0;100
44;0;"aung";44;100;0
0;24;"aungelique";24;0;100
0;10;"auni";10;0;100
0;108;"aunica";108;0;100
0;325;"aunika";325;0;100
0;17;"aunisti";17;0;100
0;78;"aunisty";78;0;100
0;10;"auniya";10;0;100
0;5;"aunjel";5;0;100
0;377;"aunna";377;0;100
0;5;"aunnika";5;0;100
0;115;"aunya";115;0;100
0;38;"aunyae";38;0;100
0;27;"aunye";27;0;100
0;2864;"aura";2864;0;100
0;7;"aurabella";7;0;100
0;12;"auralee";12;0;100
0;23;"auralia";23;0;100
13;0;"aurash";13;100;0
0;5;"auraya";5;0;100
0;24;"aurbree";24;0;100
0;1060;"aurea";1060;0;100
0;10;"aureana";10;0;100
0;10;"aureanna";10;0;100
0;18;"auree";18;0;100
177;33;"aurel";210;84.2857142857143;15.7142857142857
49;0;"aurele";49;100;0
0;5;"aureli";5;0;100
0;11790;"aurelia";11790;0;100
0;25;"aureliana";25;0;100
567;0;"aureliano";567;100;0
0;394;"aurelie";394;0;100
6667;6;"aurelio";6673;99.9100854188521;0.0899145811479095
717;0;"aurelius";717;100;0
0;31;"aurella";31;0;100
0;13;"aurellia";13;0;100
0;6;"aurelya";6;0;100
63;40;"auren";103;61.1650485436893;38.8349514563107
5;0;"aureo";5;100;0
0;10;"aureon";10;0;100
0;5;"auretta";5;0;100
5;0;"aureus";5;100;0
0;10;"aurey";10;0;100
20;326;"auri";346;5.78034682080925;94.2196531791908
0;763;"auria";763;0;100
0;46;"auriah";46;0;100
6;11;"aurian";17;35.2941176470588;64.7058823529412
0;600;"auriana";600;0;100
0;614;"aurianna";614;0;100
11;0;"auric";11;100;0
25;0;"aurick";25;100;0
0;297;"aurie";297;0;100
42;725;"auriel";767;5.47588005215124;94.5241199478488
0;171;"auriella";171;0;100
0;649;"aurielle";649;0;100
0;10;"aurieona";10;0;100
16;0;"aurik";16;100;0
0;5;"auril";5;0;100
0;127;"aurilla";127;0;100
5;0;"aurin";5;100;0
24;30;"aurion";54;44.4444444444444;55.5555555555556
0;5;"auriona";5;0;100
0;13;"aurionna";13;0;100
0;14;"auriya";14;0;100
0;12;"auriyah";12;0;100
0;14;"auriyana";14;0;100
0;13;"auroara";13;0;100
16;0;"aurohom";16;100;0
417;0;"auron";417;100;0
48;47409;"aurora";47457;0.101144193691131;99.8988558063089
0;114;"aurorah";114;0;100
0;5;"auroralee";5;0;100
0;5;"auroralynn";5;0;100
0;546;"aurore";546;0;100
0;5;"auroura";5;0;100
0;5;"aurra";5;0;100
284;0;"aurther";284;100;0
17;0;"aurthor";17;100;0
403;0;"aurthur";403;100;0
5;102;"aury";107;4.67289719626168;95.3271028037383
0;11;"auryana";11;0;100
0;12;"auryanna";12;0;100
44;11;"auryn";55;80;20
119;0;"ausar";119;100;0
10;0;"ausbon";10;100;0
10;0;"ausby";10;100;0
78;0;"ausencio";78;100;0
0;116;"auset";116;0;100
0;238;"ausha";238;0;100
0;5;"ausia";5;0;100
5;0;"ausie";5;100;0
30;0;"ausitn";30;100;0
0;15;"austa";15;0;100
191;0;"austan";191;100;0
0;7;"austeja";7;0;100
7428;763;"austen";8191;90.6848980588451;9.31510194115492
0;20;"austi";20;0;100
401375;4413;"austin";405788;98.9124863229075;1.08751367709247
0;105;"austina";105;0;100
153;168;"austine";321;47.6635514018692;52.3364485981308
37;0;"austinjames";37;100;0
11;0;"austinjohn";11;100;0
15;0;"austinlee";15;100;0
33;0;"austinmichael";33;100;0
28;0;"austinn";28;100;0
11;0;"austintyler";11;100;0
3326;0;"auston";3326;100;0
11;332;"australia";343;3.2069970845481;96.7930029154519
16;0;"austreberto";16;100;0
0;17;"austria";17;0;100
49;0;"austun";49;100;0
4515;2836;"austyn";7351;61.4202149367433;38.5797850632567
0;228;"austynn";228;0;100
0;5;"autavia";5;0;100
17;0;"authar";17;100;0
2245;17;"auther";2262;99.2484526967286;0.751547303271441
0;51;"autherine";51;0;100
2084;0;"author";2084;100;0
2128;0;"authur";2128;100;0
0;48;"autiana";48;0;100
0;8;"autianna";8;0;100
11;62;"autie";73;15.0684931506849;84.9315068493151
11;0;"autin";11;100;0
5;0;"autis";5;100;0
0;11;"autmn";11;0;100
0;10;"autom";10;0;100
0;6;"automn";6;0;100
0;5;"autra";5;0;100
213;21;"autrey";234;91.025641025641;8.97435897435897
1131;197;"autry";1328;85.1656626506024;14.8343373493976
0;5;"auttum";5;0;100
0;5;"auttumn";5;0;100
0;3175;"autum";3175;0;100
0;11;"autume";11;0;100
0;125;"autumm";125;0;100
270;116635;"autumn";116905;0.2309567597622;99.7690432402378
0;62;"autumne";62;0;100
0;12;"autumnn";12;0;100
0;90;"autumnrose";90;0;100
0;13;"autunm";13;0;100
17;0;"auturo";17;100;0
0;59;"autym";59;0;100
0;222;"autymn";222;0;100
8;0;"autzen";8;100;0
0;17;"auviana";17;0;100
0;5;"auvianna";5;0;100
0;22;"auzhane";22;0;100
10;0;"auzie";10;100;0
5;0;"av";5;100;0
279;233991;"ava";234270;0.119093353822512;99.8809066461775
0;20;"avaa";20;0;100
0;6;"avaah";6;0;100
13;0;"avaan";13;100;0
0;6;"avaani";6;0;100
0;82;"avabella";82;0;100
0;34;"avabelle";34;0;100
0;41;"avaclaire";41;0;100
0;108;"avacyn";108;0;100
0;6;"avadna";6;0;100
0;5;"avae";5;0;100
0;10;"avaeah";10;0;100
0;64;"avaeh";64;0;100
0;15;"avaelizabeth";15;0;100
0;82;"avagail";82;0;100
0;314;"avagrace";314;0;100
0;3744;"avah";3744;0;100
0;5;"avahlyn";5;0;100
0;21;"avahlynn";21;0;100
0;16;"avaia";16;0;100
0;82;"avaiah";82;0;100
0;34;"avaiya";34;0;100
0;42;"avaiyah";42;0;100
0;6;"avajames";6;0;100
0;6;"avajane";6;0;100
0;5;"avajo";5;0;100
0;5;"avajoy";5;0;100
0;16;"avakate";16;0;100
0;5;"avala";5;0;100
0;8;"avalanna";8;0;100
0;42;"avalea";42;0;100
0;824;"avalee";824;0;100
0;77;"avaleen";77;0;100
0;6;"avaleena";6;0;100
0;42;"avalei";42;0;100
0;498;"avaleigh";498;0;100
0;51;"avalena";51;0;100
0;149;"avalene";149;0;100
0;51;"avaley";51;0;100
0;5;"avali";5;0;100
0;15;"avalia";15;0;100
0;70;"avalie";70;0;100
0;5;"avaliese";5;0;100
0;73;"avalin";73;0;100
0;261;"avalina";261;0;100
0;177;"avaline";177;0;100
0;32;"avalise";32;0;100
30;3051;"avalon";3081;0.973709834469328;99.0262901655307
0;1951;"avalyn";1951;0;100
0;5;"avalyna";5;0;100
0;19;"avalyne";19;0;100
0;1825;"avalynn";1825;0;100
0;146;"avalynne";146;0;100
0;23;"avalyse";23;0;100
0;79;"avamae";79;0;100
0;21;"avamaria";21;0;100
0;767;"avamarie";767;0;100
0;5;"avamay";5;0;100
0;5;"avamonroe";5;0;100
647;48;"avan";695;93.0935251798561;6.90647482014388
0;201;"avana";201;0;100
0;5;"avanah";5;0;100
6;0;"avander";6;100;0
196;0;"avaneesh";196;100;0
0;11;"avanel";11;0;100
0;642;"avanell";642;0;100
0;502;"avanelle";502;0;100
0;5;"avangaline";5;0;100
0;5;"avangelene";5;0;100
0;6;"avangelia";6;0;100
0;89;"avangelina";89;0;100
0;264;"avangeline";264;0;100
17;2244;"avani";2261;0.75187969924812;99.2481203007519
0;6;"avanicole";6;0;100
59;0;"avanish";59;100;0
0;186;"avanna";186;0;100
0;59;"avannah";59;0;100
0;77;"avanni";77;0;100
547;0;"avant";547;100;0
12;0;"avanta";12;100;0
132;0;"avantae";132;100;0
17;0;"avantay";17;100;0
713;38;"avante";751;94.9400798934754;5.05992010652463
0;5;"avanthi";5;0;100
0;51;"avanthika";51;0;100
52;296;"avanti";348;14.9425287356322;85.0574712643678
0;281;"avantika";281;0;100
0;12;"avanya";12;0;100
0;88;"avarae";88;0;100
20;0;"avard";20;100;0
0;354;"avaree";354;0;100
0;6;"avareigh";6;0;100
0;130;"avarey";130;0;100
87;660;"avari";747;11.6465863453815;88.3534136546185
0;1211;"avarie";1211;0;100
0;24;"avariella";24;0;100
0;15;"avarielle";15;0;100
0;242;"avarose";242;0;100
92;1325;"avary";1417;6.49258997882851;93.5074100211715
6;0;"avash";6;100;0
0;18;"avasophia";18;0;100
11;0;"avaughn";11;100;0
0;718;"avaya";718;0;100
0;442;"avayah";442;0;100
0;5;"avayiah";5;0;100
0;24;"avayla";24;0;100
0;796;"ave";796;0;100
0;131;"avea";131;0;100
0;285;"aveah";285;0;100
0;5;"aveaha";5;0;100
0;5;"aveana";5;0;100
0;30;"aveanna";30;0;100
0;5;"aveda";5;0;100
68;0;"avedis";68;100;0
0;22;"avee";22;0;100
0;51;"aveen";51;0;100
0;75;"aveena";75;0;100
98;0;"aveer";98;100;0
0;5;"aveigha";5;0;100
140;0;"aveion";140;100;0
370;0;"avel";370;100;0
278;0;"avelardo";278;100;0
0;62;"aveleen";62;0;100
0;5;"avelene";5;0;100
0;16;"avelia";16;0;100
0;5;"avelie";5;0;100
0;31;"avelin";31;0;100
0;1369;"avelina";1369;0;100
0;603;"aveline";603;0;100
0;5;"avelinn";5;0;100
972;0;"avelino";972;100;0
0;32;"avella";32;0;100
0;6;"avellana";6;0;100
0;5;"avelle";5;0;100
0;5;"avellina";5;0;100
0;654;"avelyn";654;0;100
0;190;"avelynn";190;0;100
0;10;"avemaria";10;0;100
1674;1131;"aven";2805;59.6791443850267;40.3208556149733
0;30;"avena";30;0;100
0;137;"avenell";137;0;100
0;17;"avenelle";17;0;100
212;0;"avenir";212;100;0
0;15;"avenlea";15;0;100
0;5;"avenlee";5;0;100
0;30;"avenleigh";30;0;100
0;26;"avenley";26;0;100
0;66;"avenly";66;0;100
5;0;"avenn";5;100;0
367;20;"aveon";387;94.8320413436692;5.16795865633075
0;21;"aveona";21;0;100
0;21;"aveonna";21;0;100
0;15;"aver";15;0;100
0;11;"avera";11;0;100
30;763;"averee";793;3.78310214375788;96.2168978562421
0;51;"avereigh";51;0;100
22;0;"averell";22;100;0
20;0;"averett";20;100;0
168;368;"averey";536;31.3432835820896;68.6567164179104
226;5219;"averi";5445;4.1505968778696;95.8494031221304
0;169;"averiana";169;0;100
0;155;"averianna";155;0;100
10;0;"averick";10;100;0
162;7884;"averie";8046;2.01342281879195;97.9865771812081
0;11;"averiee";11;0;100
0;5;"averiella";5;0;100
0;8;"averielle";8;0;100
0;35;"averii";35;0;100
44;386;"averil";430;10.2325581395349;89.7674418604651
228;110;"averill";338;67.4556213017752;32.5443786982249
11;0;"averion";11;100;0
0;10;"averionna";10;0;100
0;46;"averlee";46;0;100
0;45;"averleigh";45;0;100
0;38;"averley";38;0;100
0;5;"averlie";5;0;100
0;189;"averly";189;0;100
51020;109543;"avery";160563;31.7756892932992;68.2243107067008
0;139;"averyana";139;0;100
0;136;"averyanna";136;0;100
0;21;"averyl";21;0;100
0;28;"averylynn";28;0;100
0;5;"averymarie";5;0;100
5;0;"averyn";5;100;0
7;0;"averyon";7;100;0
0;7;"averyona";7;0;100
0;24;"averyonna";24;0;100
0;19;"averyrose";19;0;100
0;7;"aves";7;0;100
5;0;"avet";5;100;0
42;0;"avetis";42;100;0
286;12;"avett";298;95.9731543624161;4.02684563758389
0;115;"avey";115;0;100
0;153;"aveya";153;0;100
0;163;"aveyah";163;0;100
52;0;"aveyon";52;100;0
3583;467;"avi";4050;88.4691358024691;11.5308641975309
0;1177;"avia";1177;0;100
12;0;"aviad";12;100;0
0;245;"aviah";245;0;100
0;6;"aviahna";6;0;100
1117;277;"avian";1394;80.12912482066;19.87087517934
0;4175;"aviana";4175;0;100
0;133;"avianah";133;0;100
0;28;"avianca";28;0;100
0;461;"aviance";461;0;100
0;3584;"avianna";3584;0;100
0;123;"aviannah";123;0;100
0;21;"avianne";21;0;100
0;5;"aviara";5;0;100
0;10;"aviary";10;0;100
0;184;"avice";184;0;100
5;0;"avichai";5;100;0
227;0;"avid";227;100;0
50;0;"avidan";50;100;0
11;1124;"avie";1135;0.969162995594714;99.0308370044053
650;19;"aviel";669;97.1599402092676;2.84005979073244
0;100;"aviela";100;0;100
0;142;"aviella";142;0;100
6;234;"avielle";240;2.5;97.5
163;0;"avien";163;100;0
0;14;"avienda";14;0;100
0;131;"aviendha";131;0;100
0;7;"avienne";7;0;100
11;0;"avieon";11;100;0
75;0;"avier";75;100;0
0;1470;"avigail";1470;0;100
0;457;"avigayil";457;0;100
344;0;"avigdor";344;100;0
10;0;"avighna";10;100;0
209;0;"avik";209;100;0
0;267;"avika";267;0;100
0;255;"avila";255;0;100
0;11;"avilee";11;0;100
0;110;"avilene";110;0;100
0;65;"avilyn";65;0;100
0;39;"avilynn";39;0;100
35;0;"avimael";35;100;0
734;58;"avin";792;92.6767676767677;7.32323232323232
0;162;"avina";162;0;100
902;0;"avinash";902;100;0
0;21;"avinell";21;0;100
5;0;"avinoam";5;100;0
1703;290;"avion";1993;85.4490717511289;14.550928248871
0;275;"aviona";275;0;100
0;17;"avionce";17;0;100
0;5;"avione";5;0;100
0;558;"avionna";558;0;100
0;19;"avionne";19;0;100
34;0;"avir";34;100;0
0;31;"avira";31;0;100
5;0;"aviraaj";5;100;0
72;0;"aviraj";72;100;0
5;0;"aviral";5;100;0
5;0;"aviram";5;100;0
0;11;"aviree";11;0;100
788;16550;"avis";17338;4.54493021109701;95.455069788903
65;0;"avish";65;100;0
0;32;"avisha";32;0;100
157;0;"avishai";157;100;0
5;0;"avishek";5;100;0
0;31;"avishi";31;0;100
0;13;"avishka";13;0;100
0;55;"avita";55;0;100
18;0;"avitaj";18;100;0
0;761;"avital";761;0;100
5;0;"avitaz";5;100;0
465;115;"aviv";580;80.1724137931034;19.8275862068966
0;2661;"aviva";2661;0;100
0;5;"avivah";5;0;100
0;249;"aviya";249;0;100
0;130;"aviyah";130;0;100
0;110;"aviyana";110;0;100
0;80;"aviyanna";80;0;100
93;6;"aviyon";99;93.9393939393939;6.06060606060606
0;11;"aviyonna";11;0;100
0;158;"avleen";158;0;100
0;29;"avlyn";29;0;100
0;53;"avlynn";53;0;100
36;0;"avneesh";36;100;0
5;379;"avneet";384;1.30208333333333;98.6979166666667
234;0;"avner";234;100;0
0;933;"avni";933;0;100
15;0;"avnish";15;100;0
0;44;"avnoor";44;0;100
5;162;"avo";167;2.9940119760479;97.0059880239521
0;5;"avola";5;0;100
1483;700;"avon";2183;67.9340357306459;32.0659642693541
0;35;"avona";35;0;100
0;94;"avonda";94;0;100
112;0;"avondre";112;100;0
0;5;"avonel";5;0;100
0;186;"avonell";186;0;100
0;284;"avonelle";284;0;100
0;820;"avonlea";820;0;100
0;12;"avonlee";12;0;100
0;256;"avonna";256;0;100
0;182;"avonne";182;0;100
0;6;"avonni";6;0;100
19;0;"avont";19;100;0
31;0;"avonta";31;100;0
199;0;"avontae";199;100;0
25;0;"avontay";25;100;0
410;0;"avonte";410;100;0
0;5;"avor";5;0;100
0;9;"avoree";9;0;100
0;15;"avori";15;0;100
0;45;"avorie";45;0;100
284;380;"avory";664;42.7710843373494;57.2289156626506
0;36;"avra";36;0;100
3276;0;"avraham";3276;100;0
50;0;"avrahom";50;100;0
32;0;"avraj";32;100;0
750;0;"avram";750;100;0
11;433;"avree";444;2.47747747747748;97.5225225225225
0;17;"avreet";17;0;100
0;10;"avreigh";10;0;100
8;0;"avren";8;100;0
263;332;"avrey";595;44.2016806722689;55.7983193277311
23;378;"avri";401;5.7356608478803;94.2643391521197
60;0;"avrian";60;100;0
0;168;"avriana";168;0;100
0;202;"avrianna";202;0;100
10;862;"avrie";872;1.14678899082569;98.8532110091743
16;121;"avriel";137;11.6788321167883;88.3211678832117
0;18;"avriella";18;0;100
0;152;"avrielle";152;0;100
5;0;"avrik";5;100;0
5;2474;"avril";2479;0.201694231544978;99.798305768455
0;5;"avrill";5;0;100
0;5;"avrilynn";5;0;100
5;0;"avrion";5;100;0
23;0;"avroham";23;100;0
2606;0;"avrohom";2606;100;0
64;0;"avrom";64;100;0
33;0;"avron";33;100;0
0;10;"avrora";10;0;100
384;0;"avrum";384;100;0
35;0;"avrumi";35;100;0
18;0;"avrumy";18;100;0
413;454;"avry";867;47.6355247981546;52.3644752018454
0;81;"avryl";81;0;100
0;7;"avryn";7;0;100
5;0;"avshalom";5;100;0
0;17;"avva";17;0;100
16;286;"avy";302;5.29801324503311;94.7019867549669
0;60;"avya";60;0;100
157;0;"avyaan";157;100;0
257;0;"avyan";257;100;0
0;190;"avyana";190;0;100
0;5;"avyanah";5;0;100
0;387;"avyanna";387;0;100
5;0;"avyansh";5;100;0
109;0;"avyay";109;100;0
5;0;"avyion";5;100;0
163;207;"avyn";370;44.0540540540541;55.9459459459459
0;6;"avynlee";6;0;100
0;58;"avynn";58;0;100
89;0;"avyon";89;100;0
0;7;"avyona";7;0;100
0;75;"avyonna";75;0;100
148;0;"avyukt";148;100;0
150;0;"avyukth";150;100;0
0;608;"awa";608;0;100
141;0;"awab";141;100;0
114;0;"awad";114;100;0
107;0;"awais";107;100;0
29;0;"awan";29;100;0
0;90;"awanda";90;0;100
0;22;"awbree";22;0;100
