first_name,last_name,count,prob_male_census,guess_census,guess_gender_guesser,human_check_necessary,final_gender,Names remaining: 2
Lynn Y.,Weiner,1,22% male,andy,mostly_female,FALSE,female,https://www.google.com/search?q=Lynn Y.+Weiner+history
Willie Lee,Rose,1,76% male,andy,mostly_male,FALSE,female,https://www.google.com/search?q=Willie Lee+Rose+history
Marian E.,White,1,1% male,female,andy,FALSE,female,https://www.google.com/search?q=Marian E.+White+history
Marian H. A. C.,Weevers,1,1% male,female,andy,FALSE,female,https://www.google.com/search?q=Marian H. A. C.+Weevers+history
Marian J.,Morton,1,1% male,female,andy,FALSE,female,https://www.google.com/search?q=Marian J.+Morton+history
Natsuki,Aruga,1,0% male,female,andy,FALSE,female,https://www.google.com/search?q=Natsuki+Aruga+history
Abigail,Green,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Abigail+Green+history
Abigail J.,Stewart,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Abigail J.+Stewart+history
Ada,Ferrer,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Ada+Ferrer+history
Ada,Rapoport-Albert,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Ada+Rapoport-Albert+history
Adele,Lindenmeyr,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Adele+Lindenmeyr+history
Adrienne D.,Hood,2,1% male,female,female,FALSE,female,https://www.google.com/search?q=Adrienne D.+Hood+history
Adrienne Phelps,Coco,1,1% male,female,female,FALSE,female,https://www.google.com/search?q=Adrienne Phelps+Coco+history
Afaf Lutfi Al-Sayyid,Marsot,2,0% male,female,female,FALSE,female,https://www.google.com/search?q=Afaf Lutfi Al-Sayyid+Marsot+history
Afsaneh,Najmabadi,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Afsaneh+Najmabadi+history
Aileen S.,Kraditor,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Aileen S.+Kraditor+history
Alaina,Lemon,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Alaina+Lemon+history
Alannah,Tomkins,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Alannah+Tomkins+history
Alecia P.,Long,1,0% male,female,female,FALSE,female,https://www.google.com/search?q=Alecia P.+Long+history
Alejandra,Irigoin,1,1% male,female,female,FALSE,female,https://www.google.com/search?q=Alejandra+Irigoin+history
