,name_raw,name,actual,score_actual,guess_orig,score_orig,guess_naive,score_naive,guess_complex,score_complex,dif_orig_naive,dif_orig_complex,dif_naive_complex,,dif_act_orig,dif_act_complex
18667,"buhite,_leslie_allen:0","Buhite, Leslie Allen",,,female,5,mostly_female,4,male,1,1,4,3,,,
18771,"dower,_kana:0","Dower, Kana",,,male,1,andy,3,female,5,2,4,2,,,
18921,"geffert,_bryn_ivan:0","Geffert, Bryn Ivan",,,female,5,andy,3,male,1,2,4,2,,,
18980,"strub,_whitney_vincent:0","Strub, Whitney Vincent",,,female,5,mostly_male,2,male,1,3,4,1,,,
19166,"waggoner,_glen_alan:0","Waggoner, Glen Alan",,,female,5,male,1,male,1,4,4,0,,,
19520,"simoncini,_gabriele:0","Simoncini, Gabriele",,,male,1,andy,3,female,5,2,4,2,,,
19655,"hayden,_rene:0","Hayden, Rene",,,female,5,andy,3,male,1,2,4,2,,,
19672,"lindenauer,_leslie_jordan:0","Lindenauer, Leslie Jordan",,,female,5,mostly_female,4,male,1,1,4,3,,,
19769,"stephenson,_shelley:0","Stephenson, Shelley",,,male,1,female,5,female,5,4,4,0,,,
19880,"motzkin,_gabriel_gideon_hillel:0","Motzkin, Gabriel Gideon Hillel",,,female,5,mostly_male,2,male,1,3,4,1,,,
19903,"demayo,_courtney:0","Demayo, Courtney",,,male,1,mostly_female,4,female,5,3,4,1,,,
20058,"lindsey,_shelley_stamp:0","Lindsey, Shelley Stamp",,,male,1,female,5,female,5,4,4,0,,,
20173,"dean,_leslie_alan:0","Dean, Leslie Alan",,,female,5,mostly_female,4,male,1,1,4,3,,,
20389,"sallee,_shelley_kathryn:0","Sallee, Shelley Kathryn",,,male,1,female,5,female,5,4,4,0,,,
20426,"dugas,_carroll_joseph:0","Dugas, Carroll Joseph",,,female,5,mostly_male,2,male,1,3,4,1,,,
20509,"marion,_rene_sue:0","Marion, Rene Sue",,,female,5,andy,3,male,1,2,4,2,,,
20518,"turner,_blair_pierce:0","Turner, Blair Pierce",,,female,5,andy,3,male,1,2,4,2,,,
20683,"pack,_sasha_david:0","Pack, Sasha David",,,female,5,female,5,male,1,0,4,4,,,
20923,"tischauser,_leslie_vincent:0","Tischauser, Leslie Vincent",,,female,5,mostly_female,4,male,1,1,4,3,,,
21043,"rosenberg,_philippe:0","Rosenberg, Philippe",,,female,5,andy,3,male,1,2,4,2,,,
21121,"shah,_courtney_q.:0","Shah, Courtney Q.",,,male,1,mostly_female,4,female,5,3,4,1,,,
21321,"finder,_gabriel_natan:0","Finder, Gabriel Natan",,,female,5,mostly_male,2,male,1,3,4,1,,,
21598,"thompson,_aubrey_alwyn:0","Thompson, Aubrey Alwyn",,,female,5,andy,3,male,1,2,4,2,,,
